skill_level,accuracy_easy,accuracy_medium,accuracy_hard,avg_response_time,games_played,avg_session_duration
principiante,0.46,0.373,0.257,4.68,3.0,28.6
intermedio,0.857,0.727,0.524,1.75,10.0,10.4
principiante,0.466,0.391,0.27,3.35,9.0,22.6
principiante,0.726,0.55,0.4,2.81,1.0,25.9
principiante,0.688,0.491,0.341,3.4,9.0,28.9
principiante,0.887,0.55,0.349,2.34,6.0,12.9
intermedio,0.844,0.707,0.438,2.09,32.0,15.4
principiante,0.542,0.474,0.379,3.25,7.0,7.2
principiante,0.594,0.479,0.293,3.23,2.0,16.3
intermedio,0.765,0.571,0.373,2.05,39.0,8.6
intermedio,0.757,0.673,0.517,1.97,13.0,7.4
intermedio,0.848,0.659,0.439,1.87,44.0,18.8
experto,0.893,0.75,0.65,0.96,176.0,10.0
principiante,0.632,0.471,0.346,3.62,6.0,21.0
intermedio,0.712,0.55,0.376,1.8,24.0,29.9
intermedio,0.827,0.698,0.455,1.93,11.0,12.5
principiante,0.548,0.463,0.337,4.29,7.0,13.9
intermedio,0.865,0.627,0.49,2.05,28.0,7.4
principiante,0.618,0.434,0.289,3.61,2.0,16.4
intermedio,0.887,0.773,0.573,1.47,30.0,17.9
intermedio,0.874,0.643,0.508,1.48,23.0,21.4
principiante,0.737,0.541,0.362,3.7,10.0,5.6
principiante,0.453,0.359,0.285,4.0,10.0,20.3
experto,0.98,0.75,0.65,1.02,84.0,18.5
intermedio,0.834,0.722,0.455,1.35,45.0,5.1
principiante,0.82,0.55,0.361,3.25,14.0,24.1
principiante,0.527,0.439,0.335,3.75,8.0,14.3
experto,0.947,0.751,0.65,0.75,99.0,24.8
intermedio,0.801,0.693,0.508,1.6,47.0,29.0
principiante,0.45,0.381,0.302,3.34,10.0,21.3
intermedio,0.785,0.662,0.456,2.04,19.0,27.8
intermedio,0.757,0.594,0.434,1.53,42.0,26.1
principiante,0.474,0.374,0.236,3.32,3.0,7.2
intermedio,0.742,0.608,0.376,1.62,24.0,16.6
principiante,0.699,0.518,0.312,2.65,13.0,7.3
principiante,0.651,0.55,0.4,3.26,11.0,21.5
principiante,0.605,0.422,0.268,3.86,10.0,7.4
intermedio,0.761,0.562,0.352,1.89,41.0,26.7
principiante,0.725,0.55,0.4,2.89,11.0,17.6
experto,0.963,0.812,0.65,0.64,146.0,17.3
principiante,0.765,0.481,0.335,2.65,7.0,7.6
principiante,0.678,0.55,0.347,2.5,10.0,20.1
intermedio,0.722,0.55,0.396,2.39,45.0,14.2
principiante,0.571,0.5,0.39,4.12,5.0,7.9
intermedio,0.729,0.55,0.39,1.78,34.0,23.4
intermedio,0.713,0.55,0.399,2.23,20.0,6.9
principiante,0.677,0.505,0.311,2.97,3.0,25.5
experto,0.872,0.75,0.65,1.18,108.0,29.7
intermedio,0.885,0.711,0.443,1.71,15.0,14.1
principiante,0.847,0.536,0.363,3.74,5.0,19.7
intermedio,0.79,0.671,0.451,1.94,17.0,10.0
principiante,0.486,0.427,0.307,4.12,12.0,12.8
intermedio,0.889,0.682,0.486,1.36,18.0,17.2
intermedio,0.797,0.636,0.397,2.19,19.0,9.7
principiante,0.576,0.447,0.315,2.73,3.0,18.3
intermedio,0.784,0.637,0.383,1.57,45.0,12.2
principiante,0.62,0.467,0.362,3.94,10.0,6.0
intermedio,0.892,0.769,0.532,1.33,47.0,10.6
principiante,0.481,0.371,0.243,4.68,5.0,7.7
intermedio,0.886,0.717,0.525,1.89,13.0,28.9
experto,0.854,0.75,0.65,0.89,107.0,20.1
principiante,0.668,0.421,0.298,2.98,12.0,27.1
experto,0.886,0.75,0.65,0.74,44.0,23.7
intermedio,0.783,0.589,0.455,2.07,27.0,16.2
principiante,0.462,0.337,0.269,4.99,1.0,7.7
intermedio,0.872,0.664,0.486,1.76,28.0,8.2
principiante,0.596,0.427,0.291,3.44,1.0,8.1
intermedio,0.75,0.642,0.508,2.01,33.0,21.8
principiante,0.489,0.437,0.302,3.23,2.0,11.0
intermedio,0.827,0.74,0.49,1.64,36.0,10.2
principiante,0.603,0.495,0.343,4.01,12.0,8.6
principiante,0.711,0.532,0.367,3.96,11.0,21.8
principiante,0.635,0.534,0.338,2.73,1.0,5.2
principiante,0.585,0.432,0.291,3.46,12.0,21.8
intermedio,0.804,0.619,0.401,1.52,20.0,24.9
intermedio,0.823,0.583,0.388,1.93,15.0,12.6
experto,0.945,0.841,0.65,1.11,167.0,28.6
experto,0.966,0.75,0.65,1.22,176.0,24.7
principiante,0.505,0.375,0.253,3.87,9.0,21.4
principiante,0.636,0.471,0.32,2.61,7.0,22.8
principiante,0.659,0.55,0.4,3.44,10.0,18.3
intermedio,0.804,0.696,0.476,1.51,21.0,22.7
intermedio,0.75,0.581,0.378,2.04,26.0,21.5
principiante,0.518,0.37,0.267,4.21,9.0,16.7
intermedio,0.781,0.64,0.398,1.5,46.0,22.2
principiante,0.65,0.497,0.387,3.94,5.0,5.4
principiante,0.718,0.55,0.4,2.67,6.0,14.5
experto,0.967,0.838,0.65,0.92,108.0,20.6
principiante,0.5,0.424,0.328,3.16,2.0,14.2
principiante,0.728,0.5,0.309,3.92,2.0,19.8
intermedio,0.803,0.59,0.432,2.24,20.0,6.7
intermedio,0.835,0.702,0.522,1.84,10.0,8.4
principiante,0.719,0.55,0.4,3.29,2.0,28.2
principiante,0.666,0.55,0.396,2.59,2.0,16.8
intermedio,0.719,0.614,0.46,1.79,22.0,12.6
experto,0.97,0.76,0.65,0.91,46.0,15.6
principiante,0.477,0.365,0.288,4.84,9.0,8.9
principiante,0.555,0.475,0.38,2.99,13.0,19.8
intermedio,0.787,0.676,0.506,1.71,23.0,8.6
experto,0.891,0.75,0.65,1.29,177.0,19.3
experto,0.9,0.75,0.65,0.71,186.0,29.1
intermedio,0.876,0.74,0.461,1.58,45.0,10.8
intermedio,0.719,0.564,0.353,2.57,29.0,28.4
principiante,0.54,0.448,0.356,4.23,1.0,16.4
principiante,0.622,0.519,0.392,3.9,5.0,5.7
experto,0.854,0.75,0.65,0.95,157.0,13.8
intermedio,0.801,0.614,0.431,1.48,22.0,9.1
principiante,0.495,0.405,0.274,4.79,12.0,26.8
intermedio,0.877,0.711,0.503,1.41,16.0,21.7
principiante,0.559,0.448,0.331,2.71,12.0,19.2
experto,0.944,0.832,0.65,1.12,79.0,8.1
experto,0.945,0.75,0.65,0.96,76.0,8.9
intermedio,0.728,0.55,0.35,2.32,36.0,13.3
principiante,0.555,0.474,0.322,3.52,9.0,20.6
principiante,0.7,0.55,0.372,3.42,1.0,15.1
principiante,0.693,0.55,0.4,3.12,8.0,16.8
principiante,0.584,0.469,0.315,3.71,3.0,19.1
principiante,0.471,0.347,0.255,4.8,12.0,17.6
principiante,0.485,0.432,0.286,4.57,9.0,27.8
principiante,0.715,0.55,0.4,3.82,6.0,21.9
intermedio,0.874,0.723,0.458,1.62,21.0,18.7
experto,0.937,0.75,0.65,0.74,86.0,11.8
intermedio,0.884,0.77,0.581,1.4,30.0,16.3
intermedio,0.87,0.694,0.482,1.68,43.0,7.7
principiante,0.557,0.493,0.318,3.78,4.0,24.3
intermedio,0.733,0.569,0.357,2.22,39.0,15.5
principiante,0.597,0.444,0.354,4.31,1.0,13.5
experto,0.966,0.835,0.65,0.7,25.0,29.4
intermedio,0.898,0.664,0.475,2.02,15.0,18.1
principiante,0.528,0.45,0.282,3.77,4.0,19.4
principiante,0.678,0.55,0.4,2.79,2.0,9.7
principiante,0.792,0.55,0.376,2.37,9.0,19.5
principiante,0.662,0.55,0.4,3.05,3.0,8.8
intermedio,0.733,0.628,0.392,2.13,14.0,24.0
intermedio,0.856,0.636,0.473,2.02,23.0,17.8
principiante,0.606,0.545,0.342,3.65,6.0,24.5
principiante,0.648,0.481,0.371,4.0,3.0,23.1
intermedio,0.75,0.647,0.511,1.52,29.0,25.9
principiante,0.645,0.538,0.4,3.92,1.0,7.3
principiante,0.73,0.55,0.4,2.7,13.0,25.5
intermedio,0.872,0.629,0.497,1.67,10.0,18.6
principiante,0.496,0.402,0.285,4.35,12.0,27.9
principiante,0.628,0.445,0.321,2.89,1.0,10.5
experto,0.919,0.752,0.65,0.66,31.0,23.7
intermedio,0.816,0.723,0.506,1.95,27.0,22.1
intermedio,0.718,0.64,0.476,2.17,38.0,22.4
principiante,0.539,0.393,0.248,3.7,9.0,6.9
intermedio,0.709,0.55,0.35,2.3,28.0,29.4
principiante,0.617,0.52,0.336,4.25,14.0,24.5
principiante,0.503,0.402,0.275,4.67,6.0,19.4
principiante,0.558,0.405,0.285,4.25,4.0,9.8
principiante,0.517,0.415,0.3,3.25,1.0,18.2
principiante,0.618,0.507,0.373,3.86,4.0,23.2
intermedio,0.775,0.679,0.53,1.74,23.0,27.1
principiante,0.596,0.457,0.346,3.4,3.0,22.4
principiante,0.6,0.428,0.265,3.85,5.0,12.8
principiante,0.732,0.55,0.375,2.84,8.0,22.3
intermedio,0.83,0.7,0.516,1.54,20.0,23.0
intermedio,0.887,0.764,0.564,1.16,27.0,25.9
principiante,0.481,0.407,0.291,3.38,2.0,24.7
principiante,0.723,0.55,0.4,2.28,14.0,16.2
principiante,0.652,0.545,0.361,2.61,9.0,24.6
experto,0.924,0.814,0.65,0.98,80.0,28.4
intermedio,0.871,0.629,0.421,2.13,18.0,6.4
intermedio,0.738,0.577,0.454,1.87,36.0,27.8
intermedio,0.786,0.653,0.426,1.46,30.0,12.5
experto,0.91,0.819,0.65,0.72,114.0,12.5
intermedio,0.813,0.573,0.35,1.97,42.0,19.0
intermedio,0.714,0.55,0.397,2.43,34.0,18.5
principiante,0.488,0.417,0.25,3.7,8.0,21.3
intermedio,0.85,0.692,0.453,1.72,23.0,27.6
intermedio,0.768,0.555,0.35,2.17,30.0,8.7
principiante,0.506,0.401,0.269,4.01,2.0,29.3
intermedio,0.895,0.783,0.521,1.58,43.0,11.8
intermedio,0.779,0.619,0.477,1.73,44.0,11.6
principiante,0.477,0.394,0.28,3.69,8.0,28.8
principiante,0.493,0.433,0.29,3.09,1.0,8.2
intermedio,0.837,0.742,0.53,1.34,33.0,16.9
intermedio,0.896,0.737,0.559,1.23,17.0,13.0
experto,0.896,0.75,0.65,1.18,87.0,10.3
principiante,0.562,0.435,0.332,4.44,14.0,20.9
intermedio,0.776,0.674,0.491,1.92,44.0,8.3
intermedio,0.838,0.651,0.504,1.8,27.0,23.0
experto,0.955,0.75,0.65,0.89,76.0,11.5
principiante,0.667,0.416,0.314,3.23,12.0,5.8
principiante,0.622,0.499,0.343,3.06,7.0,7.1
principiante,0.71,0.55,0.4,3.6,11.0,24.2
principiante,0.791,0.481,0.367,2.83,4.0,23.7
intermedio,0.775,0.648,0.397,1.84,48.0,16.6
intermedio,0.886,0.621,0.466,2.09,15.0,27.7
principiante,0.603,0.473,0.305,2.81,5.0,18.5
principiante,0.668,0.55,0.4,2.85,12.0,16.1
intermedio,0.891,0.752,0.591,1.5,20.0,10.9
intermedio,0.806,0.647,0.508,1.82,33.0,21.1
principiante,0.687,0.55,0.365,3.15,1.0,7.6
intermedio,0.765,0.618,0.439,1.8,27.0,24.9
intermedio,0.844,0.75,0.582,1.55,40.0,18.5
principiante,0.684,0.55,0.363,3.5,8.0,8.9
intermedio,0.737,0.6,0.437,2.03,39.0,9.6
intermedio,0.783,0.663,0.467,1.47,17.0,23.5
principiante,0.644,0.487,0.372,3.95,12.0,18.2
principiante,0.669,0.48,0.294,2.96,3.0,18.1
intermedio,0.781,0.668,0.465,2.16,46.0,20.3
principiante,0.7,0.55,0.389,2.66,12.0,29.8
intermedio,0.805,0.613,0.412,1.53,49.0,19.8
intermedio,0.777,0.686,0.516,1.76,49.0,27.5
experto,0.918,0.822,0.65,0.7,89.0,27.7
intermedio,0.839,0.59,0.398,1.79,31.0,28.7
experto,0.892,0.774,0.65,0.85,118.0,28.6
intermedio,0.857,0.765,0.478,1.57,29.0,13.5
principiante,0.61,0.444,0.268,3.46,5.0,9.2
principiante,0.481,0.349,0.278,4.31,12.0,21.4
experto,0.934,0.825,0.65,1.08,44.0,17.5
intermedio,0.881,0.635,0.506,1.99,37.0,9.4
principiante,0.518,0.429,0.273,4.15,6.0,29.3
principiante,0.732,0.539,0.39,2.62,5.0,12.4
intermedio,0.868,0.613,0.483,2.09,31.0,9.2
experto,0.887,0.75,0.65,1.03,53.0,14.0
principiante,0.558,0.478,0.341,3.17,10.0,29.0
principiante,0.676,0.55,0.4,2.82,13.0,24.1
principiante,0.552,0.429,0.291,3.84,8.0,11.6
principiante,0.457,0.38,0.301,4.02,14.0,17.6
principiante,0.74,0.546,0.4,3.47,11.0,22.6
experto,0.917,0.772,0.65,0.71,122.0,9.7
principiante,0.695,0.55,0.4,2.36,8.0,11.5
intermedio,0.799,0.691,0.47,1.45,12.0,14.7
principiante,0.47,0.35,0.227,4.01,11.0,23.5
experto,0.864,0.75,0.65,1.18,183.0,18.9
